#,Indiv,Success?,Count,Site,Actual Nest 1,Nest dur Exp,Actual Nest 2,Actual Nest 3,Cap'd?,Mate,M Colors,Actual Colors if appl,Extract?,Total Fledged,Total Fledged_notes,Nest 1,CI 1,CI 1 Julian,Fledged B1,Nest 2,Fledged B2,Nest 3,Fledged B3,Trial,Trmt,LatVoc,LatSing,LatMov,F-NLatVoc,F-NLatSing,F-NLatMov,B Mount,H Mount,Date,Start,End,Wait,Video,Audio,Notes,Intrnsc.Rec,Intrnsc.N,Intrnsc.Pulses,Intrnsc.RL,Intrnsc.CR.FB,Intrnsc.Tempo,Intrnsc.Rep,Indiv,ID,PB ID,PB_Norm_Tmp,PB_Fast_Tmp,WPY,EPY,Prop WPY,CapDate,Mass,RWL,mLTS,mRTS,maxTS,Bird,T_T.Brightness,T_Avg.Brightness,T_Hue,T_Chrom,R_T.Brightness,R_Avg.Brightness,R_Hue,R_Chrom,B_T.Brightness,B_Avg.Brightness,B_Hue,B_Chrom,V_T.Brightness,V_Avg.Brightness,V_Hue,V_Chrom
45,2540-98833,Y,27,Schaap,71,71,,,Y,2600-27259,LtB CB,GPkLtBwR,,4,,26,6/9/12,161,3,76,0,76,1,2,F,7.515,120,10.44,,,,1,,5/22/12,0.342361111,,,,,,5/17/12,7.00,9.67,0.32,3397.14,29.74,14.00,2540-98833,12-543,PB-16,30.54,35.25,4.00,4.00,0.50,173.00,19.00,124.00,96.17,96.00,96.17,2540-98833,32292.59,16.17,660.79,0.49,39203.22,19.63,638.06,0.50,27692.28,13.87,652.08,0.54,25552.72,12.80,645.70,0.58
44,DEAD,Y,28,Schaap,55,56/55 area,,,Y,2351-05403,Unp W CB,Died,,,,,,,,,,,,1,F,0.855,120,3.12,0.045,0,-0.33,3,,5/22/12,0.334027778,,,,,,,,,,,,,DEAD,,PB-12,31.22,36.12,,,,,,,,,,,,,,,,,,,,,,,,,,
44,DEAD,Y,28,Schaap,55,56/55 area,,,Y,2351-05403,Unp W CB,Died,,,,,,,,,,,,2,N,0.81,120,3.45,,,,3,,5/22/12,0.363888889,,,,,,,,,,,,,DEAD,,PB-12,31.22,36.12,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2540-98891,Y,29,Cargill,17,conduit near 12 (17),,,Y,2540-98899,BGW,BGW,,0,,17,6/17/12,169,0,,,,,1,N,4.5,120,47.595,-0.345,0,-42.195,2,,5/23/12,0.398611111,,,,,,,,,,,,,2540-98891,,PB-08,32.33,37.42,,,,143.00,17.50,120.00,88.00,88.00,88.00,2540-98891,23699.92,11.87,675.10,0.59,35692.15,17.87,606.14,0.51,36576.08,18.32,655.71,0.52,34459.00,17.26,645.43,0.52
47,2540-98891,Y,29,Cargill,17,conduit near 12 (17),,,Y,2540-98899,BGW,BGW,,0,,17,6/17/12,169,0,,,,,2,F,4.155,120,5.4,,,,2,,5/23/12,0.421527778,,,,,,,,,,,,,2540-98891,,PB-08,32.33,37.42,,,,143.00,17.50,120.00,88.00,88.00,88.00,2540-98891,23699.92,11.87,675.10,0.59,35692.15,17.87,606.14,0.51,36576.08,18.32,655.71,0.52,34459.00,17.26,645.43,0.52
48,2600-27555,Y,30,CHR,44,44,,,N,2600-27556,#44/45,PuROW,,6,2nd brood not banded,44,6/5/12,157,3,44,3,,,2,N,20.52,30.795,59.67,-16.05,89.205,60.33,3,,5/25/12,0.275694444,,,,,,5/21/12,9.00,9.89,0.32,2985.56,30.92,29.00,2600-27555,12-730,PB-04,33.43,38.04,,,,156.00,17.00,119.17,,89.00,89.00,2600-27555,36568.64,18.31,659.09,0.49,49098.11,24.59,618.38,0.50,61007.67,30.55,614.12,0.45,37062.52,18.56,625.73,0.51
48,2600-27555,Y,30,CHR,44,44,,,N,2600-27556,#44/45,PuROW,,6,2nd brood not banded,44,6/5/12,157,3,44,3,,,3,F,4.47,120,120,,,,1,,5/25/12,0.306944444,,,80B,,,5/21/12,9.00,9.89,0.32,2985.56,30.92,29.00,2600-27555,12-730,PB-04,33.43,38.04,,,,156.00,17.00,119.17,,89.00,89.00,2600-27555,36568.64,18.31,659.09,0.49,49098.11,24.59,618.38,0.50,61007.67,30.55,614.12,0.45,37062.52,18.56,625.73,0.51
49,2600-27213,Y,31,CHR,37,37,,,Y,2540-98878,_GW,_GW,,7,,37,5/24/12,145,3,79,4,,,1,N,2.34,120,12.435,3.885,-113.775,29.61,1,,5/25/12,0.264583333,,,,,,,,,,,,,2600-27213,12-724,PB-06,28.85,33.47,6.00,1.00,0.86,138.00,20.50,116.00,84.33,84.00,84.33,2600-27213,53429.78,26.76,677.16,0.41,56735.96,28.41,682.07,0.46,57290.43,28.69,619.40,0.45,47625.27,23.85,650.75,0.48
49,2600-27213,Y,31,CHR,37,37,,,Y,2540-98878,_GW,_GW,,7,,37,5/24/12,145,3,79,4,,,2,F,6.225,6.225,42.045,,,,1,,5/25/12,0.294444444,,,,,,,,,,,,,2600-27213,12-724,PB-06,28.85,33.47,6.00,1.00,0.86,138.00,20.50,116.00,84.33,84.00,84.33,2600-27213,53429.78,26.76,677.16,0.41,56735.96,28.41,682.07,0.46,57290.43,28.69,619.40,0.45,47625.27,23.85,650.75,0.48
50,2600-27584,Y,32,Orvilla West,14,14,,,N,2600-27763,UNB,BPu_,,5,,14,5/25/12,146,5,14,0,,,1,F,10.14,26.805,6.48,-109.86,-93.195,5.13,3,,5/27/12,0.240277778,,,,,,,,,,,,,2600-27584,12-789,PB-18,30.50,34.94,5.00,0.00,1.00,158.00,19.50,121.50,91.00,91.17,91.17,,,,,,,,,,,,,,,,,
50,2600-27584,Y,32,Orvilla West,14,,,,,2600-27763,UNB,BPu_,,5,,14,5/25/12,146,5,14,0,,,2,N,120,120,1.35,,,,3,,5/27/12,0.266666667,,,,,,,,,,,,,2600-27584,12-789,PB-18,30.50,34.94,5.00,0.00,1.00,158.00,19.50,121.50,91.00,91.17,91.17,,,,,,,,,,,,,,,,,
52,2600-27638,Y,33,CHR,82,?,,,N,2600-27737,"""Southernmost""",BGHPwG,,0,,82,6/23/12,175,0,,,,,1,N,5.355,5.355,43.215,-2.34,25.38,-32.715,3,,5/29/12,0.243055556,,,,,,6/22/12,11.00,11.91,0.37,2410.91,32.59,30.00,2600-27638,,PB-20,27.02,31.05,,,,215.00,16.50,120.50,86.00,86.00,86.00,2600-27638,40984.20,20.52,677.46,0.50,58179.03,29.13,627.46,0.46,86622.10,43.38,667.44,0.37,39006.24,19.53,660.73,0.51
52,2600-27638,Y,33,CHR,82,?,,,N,2600-27737,"""Southernmost""",BGHPwG,,0,,82,6/23/12,175,0,,,,,3,F,3.015,30.735,10.5,,,,3,,5/29/12,0.303472222,,,,,,6/22/12,11.00,11.91,0.37,2410.91,32.59,30.00,2600-27638,,PB-20,27.02,31.05,,,,215.00,16.50,120.50,86.00,86.00,86.00,2600-27638,40984.20,20.52,677.46,0.50,58179.03,29.13,627.46,0.46,86622.10,43.38,667.44,0.37,39006.24,19.53,660.73,0.51
53,2600-27549,Y,34,CHR,36,?,,,N,2600-27558,"""Righty""",YPkWwR,,4,,36,6/16/12,168,0,35,4,,,1,F,3.12,120,22.41,-1.035,0,11.76,2,,5/29/12,0.249305556,,,,,,5/29/12,4.00,11.50,0.35,2762.50,31.67,23.00,2600-27549,12-069,PB-19,35.68,40.98,4.00,0.00,1.00,156.00,20.00,123.83,,102.17,102.17,2600-27549,52150.69,26.11,601.35,0.48,63592.64,31.84,606.03,0.42,67248.98,33.68,580.10,0.43,66686.97,33.39,628.08,0.42
53,2600-27549,Y,34,CHR,36,?,,,N,2600-27558,"""Righty""",YPkWwR,,4,,36,6/16/12,168,0,35,4,,,2,N,4.155,120,10.65,,,,2,,5/29/12,0.297916667,,,,,,5/29/12,4.00,11.50,0.35,2762.50,31.67,23.00,2600-27549,12-069,PB-19,35.68,40.98,4.00,0.00,1.00,156.00,20.00,123.83,,102.17,102.17,2600-27549,52150.69,26.11,601.35,0.48,63592.64,31.84,606.03,0.42,67248.98,33.68,580.10,0.43,66686.97,33.39,628.08,0.42
1,2540-98833,Y,1,Schaap,,?,,,,,,,,,,,,,,,,,,3,H,,,,,,,,1,5/6/11,0.345844907,,,,,MRW01046,5/17/12,7.00,9.67,0.32,3397.14,29.74,14.00,2540-98833,12-543,PB-16,30.54,35.25,4.00,4.00,0.50,173.00,19.00,124.00,96.17,96.00,96.17,2540-98833,32292.59,16.17,660.79,0.49,39203.22,19.63,638.06,0.50,27692.28,13.87,652.08,0.54,25552.72,12.80,645.70,0.58
2,2540-98836,Y,,Struther's,,5/8,,,,,,,,,,,,,,,,,,1,H,,,,,,,,2,5/10/11,,,,,--,MRW01059,,,,,,,,2540-98836,11-078,PB-(3),32.88,37.72,4.00,5.00,0.44,130.00,19.50,123.00,98.00,99.00,99.00,2540-98836,25708.87,12.87,694.15,0.55,34943.67,17.50,681.45,0.48,52899.13,26.49,592.05,0.43,34747.75,17.40,657.42,0.52
4,2540-98933,Y,2,Make Bel,,48/36?,,,,,,,,,,,,,,,,,,3,H,,,,,,,,2,5/13/11,,,,,,1086,5/13/11,5.00,9.80,0.33,1610.00,29.84,23.00,2540-98933,11-216,PB-(4),29.82,34.31,0.00,8.00,0.00,137.00,17.25,118.00,88.17,85.17,88.17,2540-98933,40364.55,20.21,660.16,0.49,57803.82,28.95,600.68,0.48,65788.85,32.94,578.38,0.42,27038.82,13.54,681.45,0.57
5,2391-83716,Y,,Schaap,,NW stall,,,,,,,,,,,,,,,,,,1,H,,,,,,,,,5/14/11,,,,,,,5/14/11,9.00,8.43,0.27,3086.67,33.07,27.00,2391-83716,,PB-01,31.40,36.04,,,,144.00,17.25,119.33,94.67,0.00,94.67,2391-83716,27925.72,13.98,688.76,0.55,41330.78,20.70,688.38,0.49,38162.52,19.11,638.74,0.51,29313.43,14.68,684.08,0.55
6,2540-98836,Y,3,Struther's,,5/8,,,,,,,,,,,,,,,,,,3,H,,,,,,,,2,5/14/11,,,,,,1109,,,,,,,,2540-98836,11-078,PB-(3),32.88,37.72,4.00,5.00,0.44,130.00,19.50,123.00,98.00,99.00,99.00,2540-98836,25708.87,12.87,694.15,0.55,34943.67,17.50,681.45,0.48,52899.13,26.49,592.05,0.43,34747.75,17.40,657.42,0.52
31,2540-46095,Y,19,Cook,,1st light perch on saddle nest on SE side of big door (#3),,,,,,,,,,,,,,,,,,2,H,,,,,,,,3,5/31/11,,,,,,1459,5/30/11,14.00,11.93,0.40,4433.85,29.74,29.00,2540-46095,11-180,PB-10,33.37,38.40,6.00,0.00,1.00,173.00,16.50,117.67,98.00,97.50,98.00,2540-46095,22062.17,11.05,688.38,0.58,79477.49,39.80,611.17,0.43,56455.30,28.27,634.09,0.43,48545.52,24.31,627.07,0.46
47,2540-98891,Y,29,Cargill,,conduit near 12 (17),,,,,,,,,,,,,,,,,,3,H,,,,,,,,2,5/23/12,0.447916667,,,,59,661177,,,,,,,,2540-98891,,PB-08,32.33,37.42,,,,143.00,17.50,120.00,88.00,88.00,88.00,2540-98891,23699.92,11.87,675.10,0.59,35692.15,17.87,606.14,0.51,36576.08,18.32,655.71,0.52,34459.00,17.26,645.43,0.52
48,2600-27555,Y,30,CHR,,44,,,,,,,,,,,,,,,,,,1,H,,,,,,,,3,5/25/12,0.254166667,,,,11Black,661180,5/21/12,9.00,9.89,0.32,2985.56,30.92,29.00,2600-27555,12-730,PB-04,33.43,38.04,,,,156.00,17.00,119.17,,89.00,89.00,2600-27555,36568.64,18.31,659.09,0.49,49098.11,24.59,618.38,0.50,61007.67,30.55,614.12,0.45,37062.52,18.56,625.73,0.51
50,2600-27584,Y,32,Orvilla West,,,,,,,,,,,,,,,,,,,,3,H,,,,,,,,3,5/27/12,0.288194444,,,,55B,661220,,,,,,,,2600-27584,12-789,PB-18,30.50,34.94,5.00,0.00,1.00,158.00,19.50,121.50,91.00,91.17,91.17,,,,,,,,,,,,,,,,,
52,2600-27638,Y,33,CHR,,?,,,,,,,,,,,,,,,,,,2,H,,,,,,,,1,5/29/12,0.269444444,,,,64B,661238,6/22/12,11.00,11.91,0.37,2410.91,32.59,30.00,2600-27638,,PB-20,27.02,31.05,,,,215.00,16.50,120.50,86.00,86.00,86.00,2600-27638,40984.20,20.52,677.46,0.50,58179.03,29.13,627.46,0.46,86622.10,43.38,667.44,0.37,39006.24,19.53,660.73,0.51
